UF;populacao;sigla;ano;homicidios;regiao
Acre;829619;AC;2017;516;norte
Alagoas;3375823;AL;2017;1813;nordeste
Amapá;797722;AP;2017;383;norte
Amazonas;4063614;AM;2017;1674;norte
Bahia;15344447;BA;2017;7487;nordeste
Ceará;9020460;CE;2017;5433;nordeste
Distrito Federal;3039444;DF;2017;610;centro-oeste
Espírito Santo;4016356;ES;2017;1521;sudeste
Goiás;6778772;GO;2017;2901;centro-oeste
Maranhão;7000229;MA;2017;2180;nordeste
Mato Grosso;3344544;MT;2017;1102;centro-oeste
Mato Grosso do Sul;2713147;MS;2017;659;centro-oeste
Minas Gerais;21119536;MG;2017;4299;sudeste
Pará;8366628;PA;2017;4575;norte
Paraíba;4025558;PB;2017;1341;nordeste
Paraná;11320892;PR;2017;2759;sul
Pernambuco;9473266;PE;2017;5419;nordeste
Piauí;3219257;PI;2017;626;nordeste
Rio Grande do Norte;3507003;RN;2017;2203;nordeste
Rio Grande do Sul;11322895;RS;2017;3316;sul
Rio de Janeiro;16718956;RJ;2017;6416;sudeste
Rondônia;1805788;RO;2017;554;norte
Roraima;522636;RR;2017;248;norte
Santa Catarina;7001161;SC;2017;1066;sul
São Paulo;45094866;SP;2017;4631;sudeste
Sergipe;2288116;SE;2017;1313;nordeste
Tocantins;1550194;TO;2017;557;norte